meets criteria?,Notes,Reviewer 1,Reviewer 2,Number,Article Title,Abstract,article type,Publication Year,Authors,Source Title,Publication Date,DOI,DOI Link,Book DOI
TBD,,Adria,Jackson,1,Voluntary attention increases perceived spatial frequency,"Voluntary covert attention selects relevant sensory information for prioritized processing. The behavioral and neural consequences of such selection have been extensively documented, but its phenomenology has received little empirical investigation. Involuntary attention increases perceived spatial frequency (Gobell & Carrasco, 2005), but involuntary attention can differ from voluntary attention in its effects on performance in tasks mediated by spatial resolution (Yeshurun, Montagna, & Carrasco, 2008). Therefore, we ask whether voluntary attention affects the subjective appearance of spatial frequency-a fundamental dimension of visual perception underlying spatial resolution. We used a demanding rapid serial visual presentation task to direct voluntary attention and measured perceived spatial frequency at the attended and unattended locations. Attention increased the perceived spatial frequency of suprathreshold stimuli and also improved performance on a concurrent orientation discrimination task. In the control experiment, we ruled out response bias as an alternative account by using a lengthened interstimulus interval, which allows observers to disengage attention from the cued location. In contrast to the main experiment, the observers showed neither increased perceived spatial frequency nor improved orientation discrimination at the attended location. Thus, this study establishes that voluntary attention increases perceived spatial frequency. This phenomenological consequence links behavioral and neurophysiological studies on the effects of attention.",Article,2010,"Abrams, J; Barbot, A; Carrasco, M",ATTENTION PERCEPTION & PSYCHOPHYSICS,AUG,10.3758/APP.72.6.1510,http://dx.doi.org/10.3758/APP.72.6.1510,
TBD,,Adria,Jackson,2,Onset but not offset of irrelevant motion disrupts inhibition of return,"In seven experiments, subjects were slower to detect targets in cued static objects than in uncued static objects, revealing inhibition of return (IOR). This occurred regardless of the presence or absence of continuous motion of other, task-irrelevant objects in the display. However, if the motion of the irrelevant objects began during the interval between cue and target, the amount of IOR was considerably reduced. Offset of motion during the cue-target interval had no effect. Implications for IOR, object perception, and attentional capture are discussed.",Article,2005,"Abrams, RA; Christ, SE",PERCEPTION & PSYCHOPHYSICS,NOV,10.3758/BF03193650,http://dx.doi.org/10.3758/BF03193650,
TBD,,Adria,Jackson,3,Motion onset captures attention,"Although visual motion may seem salient, motion per se does not automatically attract attention. We show here, however that the onset of motion does indeed attract attention. In three experiments, subjects identified target letters in displays that contained targets and distractors. There was no advantage for moving letters among static ones, but there was an advantage for objects that had recently started to move despite the fact that the motion was uninformative. If some additional time was allowed to elapse after motion onset, inhibition of return slowed responding to the item that had started to move-a further sign that the motion onset had captured attention. Finally, detection of target letters was found to be independent of the number of distractors in the display if the target had undergone motion onset, also indicative of attentional capture. We discuss the adaptive significance of sensitivity to onsets in the presence of a relative insensitivity to ongoing motion.",Article,2003,"Abrams, RA; Christ, SE",PSYCHOLOGICAL SCIENCE,SEP,10.1111/1467-9280.01458,http://dx.doi.org/10.1111/1467-9280.01458,
TBD,,Adria,Jackson,4,Object-based visual attention with endogenous orienting,"In a series of experiments, we examined covert orienting using endogenous cuing, in which attention is voluntarily directed toward a peripheral location. In one experiment, subjects were cued to attend to one end of an oblong object. They then detected targets on the cued object or elsewhere. In another experiment, subjects provided judgments of the relative temporal order of two flashes after their attention had moved endogenously. In a third experiment, subjects were directed to attend to an empty spatial location and subsequently discriminated features of objects that appeared at or near the locus of attention. In each of these situations, attentional orienting was object based, in the sense that non-attended locations that were on the cued object had an advantage over non-attended locations that were not on the object. The results are discussed in terms of their implications for object-based representations and the differences between exogenous and endogenous orienting of attention.",Article,2000,"Abrams, RA; Law, MB",PERCEPTION & PSYCHOPHYSICS,MAY,10.3758/BF03206925,http://dx.doi.org/10.3758/BF03206925,
TBD,,Adria,Jackson,5,Alcohol effects on inhibitory control of attention: distinguishing between intentional and automatic mechanisms,"Rationale Recent research has begun to explore the possibility that inhibitory mechanisms of selective attention are particularly susceptible to the impairing effects of moderate doses of alcohol. However, literature also suggests that automatic processes might be more resistant to this impairing effect than controlled processes. Objective The present study used a delayed ocular response task and a saccadic interference task to examine the effects of alcohol on both intentionally controlled and automatic inhibitory influences on selective attention. Materials and methods Twelve healthy adults performed both tasks under three doses of alcohol (0.0, 0.45, and 0.65 g/kg). Results The results showed that alcohol reduced intentional inhibitory control over selective attention but had no effect on automatic inhibitory influences. Conclusion The present investigation marks the first effort to directly compare alcohol effects on automatic and intentional inhibitory mechanisms of visual attention. The results suggest that attentional processes dependent on intentional inhibitory control may be more susceptible to the impairing effects of a moderate dose of alcohol than processes dependent on automatic inhibition.",Article,2006,"Abroms, BD; Gottlob, LR; Fillmore, MT",PSYCHOPHARMACOLOGY,OCT,10.1007/s00213-006-0524-y,http://dx.doi.org/10.1007/s00213-006-0524-y,
TBD,,Adria,Jackson,6,Real and implied motion at the center of gaze,"Even though the dynamicity of our environment is a given, much of what we know on fixation selection comes from studies of static scene viewing. We performed a direct comparison of fixation selection on static and dynamic visual stimuli and investigated how far identical mechanisms drive these. We recorded eye movements while participants viewed movie clips of natural scenery and static frames taken from the same movies. Both were presented in the same high spatial resolution (1080 X 1920 pixels). The static condition allowed us to check whether local movement features computed from movies are salient even when presented as single frames. We observed that during the first second of viewing, movement and static features are equally salient in both conditions. Furthermore, predictability of fixations based on movement features decreased faster when viewing static frames as compared with viewing movie clips. Yet even during the later portion of static-frame viewing, the predictive value of movement features was still high above chance. Moreover, we demonstrated that, whereas the sets of movement and static features were statistically dependent within these sets, respectively, no dependence was observed between the two sets. Based on these results, we argue that implied motion is predictive of fixation similarly to real movement and that the onset of motion in natural stimuli is more salient than ongoing movement is. The present results allow us to address to what extent and when static image viewing is similar to the perception of a dynamic environment.",Article,2014,"Açik, A; Bartel, A; König, P",JOURNAL OF VISION,,10.1167/14.1.2,http://dx.doi.org/10.1167/14.1.2,
TBD,,Adria,Jackson,7,Preparing for perception and action (II):: Automatic and effortful processes in response cueing,"In this paper we tested the automatic-effortful processing assumption of the Grouping Model. According to the Grouping Model, left-right cues are pull cues and inner-outer cues are push cues, evoking exogenous and endogenous control, respectively. In a series of four experiments we manipulated the characteristics of the cues: Onset vs. no-onset cues, spatial vs. symbolic cues, valid vs. invalid cues. The results consistently showed a dissociation between left-right and inner-outer cues. Together, the present findings provide converging evidence for the notion that left-right cues induce a fast, automatic selection of the cued responses, whereas inner-outer cues need slower, effortful processes to establish a selective preparatory set.",Article,2005,"Adam, JJ; Hommel, B; Umiltà, C",VISUAL COGNITION,NOV,10.1080/13506280444000779,http://dx.doi.org/10.1080/13506280444000779,
TBD,,Adria,Jackson,8,The Effect of Transient Location on the Resolution of Bistable Visual and Audiovisual Motion Sequences,"We examined the attention and inference accounts of audiovisual perception using the stream/bounce display, a visual stimulus wherein two identical objects move toward each other, completely superimpose, then move apart. This display has two candidate percepts: stream past each other or bounce off each other. Presented without additional visual or auditory transients, the motion sequence tends to yield the streaming percept, but when coupled with a tone or flash at the point of coincidence, the response bias flips toward bouncing. We explored two competing accounts of this effect: the attentional hypothesis and the inference hypothesis. Participants watched a series of motion sequences where a transient, when present, occurred at the moment of coincidence either colocalised with the motion sequence (congruent presentation) or on the opposite side of the display (incongruent presentation). Assuming the spotlight or zoom lens metaphor, an attentional account predicts that incongruent presentations should be associated with a higher percentage of bouncing responses than congruent presentations, while the inferential account predicts the opposite effect. No effect was found for tone-only trials. However, in trials containing a visual transient, results showed higher proportions of bounce responses within congruent over incongruent presentations, favouring the inference hypothesis over a spotlight or zoom lens attentional account.",Article,2018,"Adams, KL; Grove, PM",PERCEPTION,SEP,10.1177/0301006618788796,http://dx.doi.org/10.1177/0301006618788796,
TBD,,Adria,Jackson,9,Visual Working Memory Supports the Inhibition of Previously Processed Information: Evidence From Preview Search,"In four experiments we assessed whether visual working memory (VWM) maintains a record of previously processed visual information, allowing old information to be inhibited, and new information to be prioritized. Specifically, we evaluated whether VWM contributes to the inhibition (i.e., visual marking) of previewed distractors in a preview search. We evaluated this proposal by testing three predictions. First, Experiments 1 and 2 demonstrate that preview inhibition is more effective when the number of previewed distractors is below VWM capacity than above; an effect that can only be observed at small preview set sizes (Experiment 2A) and when observers are allowed to move their eyes freely (Experiment 213). Second, Experiment 3 shows that, when quantified as the number of inhibited distractors, the magnitude of the preview effect is stable across different search difficulties. Third, Experiment 4 demonstrates that individual differences in preview inhibition are correlated with individual differences in VWM capacity. These findings provide converging evidence that VWM supports the inhibition of previewed distractors. More generally, these findings demonstrate how VWM contributes to the efficiency of human visual information processing-VWM prioritizes new information by inhibiting old information from being reselected for attention.",Article,2012,"Al-Aidroos, N; Emrich, SM; Ferber, S; Pratt, J",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,JUN,10.1037/a0025707,http://dx.doi.org/10.1037/a0025707,
TBD,,Adria,Jackson,10,Attentional control settings prevent abrupt onsets from capturing visual spatial attention,"When a visual distractor appears earlier than a visual target in a target-detection task, response time is faster if the distractor appears at the same location as the target. When a visual distractor appears concurrently with a visual target in a target-detection task, response time is slowed relative to when no distractor is presented. Both effects have been taken as evidence of the capture of visual spatial attention, yet capture by early distractors is contingent on top-down attentional control settings (ACSs), and capture by concurrent distractors is not. The present study evaluated whether this incongruity is attributable to the timing of distractors (earlier than vs. concurrently with the target), or to the employed comparisons (same location/different location vs. distractor/no distractor). Using a task that presented both early and concurrent distractors, we observed that, regardless of timing, capture was contingent on ACSs when assessed by the same-location/different-location comparison. This result suggests that, although irrelevant stimuli cause nonspatial purely stimulus-driven effects, the capture of visual spatial attention is contingent on ACSs.",Article,2010,"Al-Aidroos, N; Harrison, S; Pratt, J",QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,,10.1080/17470210903150738,http://dx.doi.org/10.1080/17470210903150738,
TBD,,Adria,Jackson,11,Top-down control in time and space: Evidence from saccadic latencies and trajectories,"Visual distractors disrupt the production of saccadic eye movements temporally, by increasing saccade latency, and spatially, by biasing the trajectory of the movement. The present research investigated the extent to which top-down control can be exerted over these two forms of oculomotor capture. In two experiments, people were instructed to make target directed saccades in the presence of distractors, and temporal and spatial capture were assessed simultaneously by measuring saccade latency and saccade trajectory curvature, respectively. In Experiment 1, an attentional control set manipulation was employed, resulting in the elimination of temporal capture, but only an attenuation of spatial capture. In Experiment 2, foreknowledge of the target location caused an attenuation of temporal capture but an enhancement of spatial capture. These results suggest that, whereas temporal capture is contingent on top-down control, the spatial component of capture is stimulus-driven.",Article,2010,"Al-Aidroos, N; Pratt, J",VISUAL COGNITION,,10.1080/13506280802456939,http://dx.doi.org/10.1080/13506280802456939,
TBD,,Adria,Jackson,12,A neural marker of content-specific active ignoring,"The ability to attend to relevant events and to ignore irrelevant stimuli is crucial to survival. Theories disagree on whether this ability is dependent solely on increased neural activation for relevant items or whether active ignoring can also play a role. The authors examined the active ignoring of stimuli using a preview search procedure, where irrelevant faces appeared prior to relevant house stimuli. They found increased activation in brain regions associated with spatial memory and in content-specific face-processing areas when participants ignored the irrelevant faces. Differences arose even on trials when only previewed faces appeared, and the magnitude of these differences predicted how well faces were ignored in search. Activation associated with active ignoring decreased when a secondary task was imposed during the preview. The data reveal a neural marker for the process of actively ignoring the content and locations of irrelevant stimuli.",Article,2008,"Allen, HA; Humphreys, GW; Matthews, PM",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,APR,10.1037/0096-1523.34.2.286,http://dx.doi.org/10.1037/0096-1523.34.2.286,
TBD,,Adria,Jackson,13,Subitization and attentional engagement by transient stimuli,"A series of experiments investigated the visual selection of moving and static items during enumeration. Small numbers of visual targets can be enumerated with little increase in reaction time and error with set size, a process referred to as 'subitization'. The number of items that can be 'subitized' is typically between one and four and known as the subitization range. This study looked for evidence of subitizing of subsets of items presented on a computer display. Fast and accurate enumeration was found for random configurations of moving targets even when presented among static distracters. This was not the case for static targets presented among moving or transient distracters. RTs to these targets were longer and showed a steady increase in RT with target number, even in the subitization range. However, when static targets and moving distracters were presented foveally, fast enumeration/subitization of the static targets was again possible. This was not due to reduced inter-item spacing, since linear effects of the number of targets still emerged when stimuli were presented peripherally but the size-spacing ratio was matched to the foveal presentations. There was indication that instead performance reflected perceived differences in movement speed for stimuli presented in parafoveal and more peripheral retinal regions. In support of this, subitization of static items improved as the movement speed of the distracters increased. The data suggest that the processes supporting subitization are highly sensitive to dynamic stimuli and depend on the ease of segmentation between static and moving arrays.",Article; Proceedings Paper,2004,"Alston, L; Humphreys, GW",SPATIAL VISION,,10.1163/156856804322778251,http://dx.doi.org/10.1163/156856804322778251,
TBD,,Adria,Jackson,14,Brief intermittent light stimulation disrupts saccadic oculomotor control,"Purpose: This study sought to determine the effect of very brief, single and multiple pulses of light on spatial and temporal aspects of saccadic eye movements. Methods: Twelve visually normal, young adult subjects participated in the experiments. Horizontal eye position was monitored as subjects attempted to track target step displacements in the presence of either single or multiple brief flashes of light in the visual field. Results: Three primary findings were observed: (1) increased saccadic latency, (2) increased time for target acquisition and (3) increased initial saccadic error. Conclusion: The present findings suggest the influence of attentional processes and/or visual masking effects on saccadic eye movement control.",Article,2008,"Alvarez, TL; Beck, KD; Ciuffreda, KJ; Chua, FB; Daftari, A; DeMarco, RM; Bergen, MT; Servatius, RJ",OPHTHALMIC AND PHYSIOLOGICAL OPTICS,JUL,10.1111/j.1475-1313.2008.00569.x,http://dx.doi.org/10.1111/j.1475-1313.2008.00569.x,
TBD,,Adria,Jackson,15,Context matters: Cortical rhythms in infants across baseline and play,"This study uses electroencephalography (EEG) to examine infants' cortical activity during baseline while they watched a dynamic audiovisual display and while engaged in play with an object and parent. Fifty-five 6- to 12-month-old infants participated in both baseline and play with their mother. We hypothesized that the baseline task recruits relatively more exogenous attention due to the dynamic audiovisual task, while the play task recruits relatively more endogenous attention when exploring the toy. We expected higher frontal theta and alpha power during play, reflecting higher endogenous control of attention compared to the baseline task. We expected the faster rhythms, beta and gamma, to have higher power during baseline at frontal locations, reflecting the salient attention-grabbing (exogenous) attributes of the baseline task in comparison to play. We also examined changes in parietal power between contexts. Our results were consistent with the expectations. Theta (3-6 Hz) and alpha (6-9 Hz) power were higher at frontal sites (Fp1/Fp2) during play relative to baseline. Beta (9-30 Hz) and gamma (30-50 Hz) power were higher at frontal (Fp1/Fp2) and frontal medial sites (F3/F4) during baseline relative to play. Alpha power was higher during baseline at frontal medial sites (F3/F4) relative to play. Beta and gamma power was higher during play at parietal sites (P3/P4). The results are discussed in terms of the potential role of different cortical rhythms over the scalp as they respond to relative endogenous and exogenous attentional demands.",Article,2022,"Anderson, AJ; Perone, S; Gartstein, MA",INFANT BEHAVIOR & DEVELOPMENT,FEB,10.1016/j.infbeh.2021.101665,http://dx.doi.org/10.1016/j.infbeh.2021.101665,
TBD,,Adria,Jackson,16,There is no such thing as attention,"Given that the core issues of attention research have been recognized for millenia, we do not know as much about attention as we should. I argue that the reasons for this failure are (1) we create spurious dichotomies, (2) we reify attention, treating it as a cause, when it is an effect, and (3) we equate a collection of facts with a theory. In order to correct these errors, we need a new technical vocabulary that allows for attentional effects to be continuously distributed, rather than merely present or absent, and that provides a basis for quantitative behavioral predictions that map onto neural substrates. The terminology of the Bayesian decision process has already proved useful for structuring conceptual discussions in other psychological domains, such as perception and decision making under uncertainty, and it had demonstrated early success in the domain of attention. By rejecting a reified, causal conception of attention, in favor of theories that produce attentional effects as consequences, psychologists will be able to conduct more definitive experiments. Such conceptual advances will then enhance the productivity of neuroscientists by allowing them to concentrate their data collection efforts on the richest soil.",Article,2011,"Anderson, B",FRONTIERS IN PSYCHOLOGY,,10.3389/fpsyg.2011.00246,http://dx.doi.org/10.3389/fpsyg.2011.00246,
TBD,,Adria,Jackson,17,Neurobiology of value-driven attention,"What we pay attention to is influenced by reward learning. Converging evidence points to the idea that associative reward learning changes how visual stimuli are processed in the brain, rendering learned reward cues difficult to ignore. Behavioral evidence distinguishes value-driven attention from other established control mechanisms, suggesting a distinct underlying neurobiological process. Recently, studies have begun to explore the neural substrates of this value-driven attention mechanism. Here, I review the progress that has been made in this area, and synthesize the findings to provide an integrative account of the neurobiology of value-driven attention. The proposed account can explain both attentional capture by previously rewarded targets and the modulatory effect of reward on priming, as well as the decoupling of reward history and prior task relevance in value-driven attention.",Review,2019,"Anderson, BA",CURRENT OPINION IN PSYCHOLOGY,OCT,10.1016/j.copsyc.2018.11.004,http://dx.doi.org/10.1016/j.copsyc.2018.11.004,
TBD,,Adria,Jackson,18,The attentional demands of encoding and retrieval in younger and older adults: 1. Evidence from divided attention costs,"Four studies examined the effects of divided attention in younger and older adults. Attention was divided at encoding or retrieval in free recall (Experiment 1), cued recall (Experiments 2 and 3), and recognition (Experiment 4). Dividing attention at encoding disrupted memory performance equally for the two age groups; by contrast, for both age groups, dividing attention at retrieval had little or no effect on memory performance. Secondary task reaction times (RTs) were slowed to a greater extent for the older adults than for the younger adults, especially at retrieval. Age-related differences in RT costs at retrieval were largest in free recall, smaller in cued recall, and smallest in recognition. These results provide evidence for an age-related increase in the attentional demands of encoding and retrieval.",Article; Proceedings Paper,1998,"Anderson, ND; Craik, FIM; Naveh-Benjamin, M",PSYCHOLOGY AND AGING,SEP,10.1037/0882-7974.13.3.405,http://dx.doi.org/10.1037/0882-7974.13.3.405,
TBD,,Adria,Jackson,19,Top-down contingencies in peripheral cuing: The roles of color and location,"According to contingent-processing accounts, peripheral cuing effects are due to the cues' inadvertent selection for processing by control settings set up for targets (e.g., C. L. Folk, R. W. Remington, & J. C. Johnston, 1992). Consequently, cues similar to targets should have stronger effects than do dissimilar cues. In the current study, this prediction is confirmed for cue-target combinations similar or dissimilar in the static features of color (Experiments 1-3) and location (Experiment 4), even when both cues and targets share the dynamic feature of abrupt onset. Perceptual priming (Experiment 2) and reallocation of attention did not account for similar-dissimilar differences (Experiments 3 and 4). The results are best explained by top-down-contingent attentional effects of the similar cues. Implications for bottom-up accounts of peripheral cuing effects are discussed.",Article,2003,"Ansorge, U; Heumann, M",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,OCT,10.1037/0096-1523.29.5.937,http://dx.doi.org/10.1037/0096-1523.29.5.937,
